 s_suppkey |       s_name       | l_partkey | qty_shipped 
-----------+--------------------+-----------+-------------
        33 | Supplier33         |     10032 |          26
        33 | Supplier#000000033 |     10032 |          26
        74 | Supplier#000000074 |    187555 |           1
       114 | Supplier#000000114 |    120113 |          24
       167 | Supplier#000000167 |    175132 |          19
       188 | Supplier#000000188 |     65175 |          85
       357 | Supplier#000000357 |     62838 |          28
       379 | Supplier#000000379 |    145350 |          21
       379 | Supplier#000000379 |    170378 |          36
       379 | Supplier#000000379 |    190378 |          13
       380 | Supplier#000000380 |    180379 |          72
       399 | Supplier#000000399 |    155368 |           6
       445 | Supplier#000000445 |    150444 |          28
       472 | Supplier#000000472 |     62953 |          37
       472 | Supplier#000000472 |    190471 |          25
