 c_count | custdist 
---------+----------
       0 |    49996
       9 |     6602
      10 |     6563
      11 |     6062
       8 |     5923
      12 |     5647
      13 |     4984
      19 |     4794
       7 |     4640
      20 |     4567
      17 |     4517
      18 |     4490
      14 |     4476
      15 |     4452
      16 |     4411
      21 |     4137
      22 |     3732
       6 |     3304
      23 |     3160
      24 |     2673
      25 |     2097
       5 |     1942
      26 |     1655
      27 |     1188
       4 |     1028
      28 |      856
      29 |      596
       3 |      393
      30 |      389
      31 |      215
      32 |      143
       2 |      138
      33 |       78
      34 |       50
      35 |       35
      36 |       21
       1 |       18
      37 |        7
      40 |        5
      38 |        4
      39 |        3
      41 |        2
      66 |        1
      54 |        1
      52 |        1
      50 |        1
      48 |        1
      46 |        1
      44 |        1
(49 rows)

